topic	3
paper	2
time	4
people	1
incollection	5
proceedings	6
www	7
book	8
inproceedings	9
article	10
phdthesis	11
mastersthesis	12
topic	3
paper	2
time	4
people	1
incollection	5
proceedings	6
www	7
book	8
inproceedings	9
article	10
phdthesis	11
mastersthesis	12
topic	3
paper	2
time	4
people	1
incollection	5
proceedings	6
www	7
book	8
inproceedings	9
article	10
phdthesis	11
mastersthesis	12
topic	3
paper	2
time	4
people	1
incollection	5
proceedings	6
www	7
book	8
inproceedings	9
article	10
phdthesis	11
mastersthesis	12
topic	3
paper	2
time	4
people	1
incollection	5
proceedings	6
www	7
book	8
inproceedings	9
article	10
phdthesis	11
mastersthesis	12
